pollution_id,city,timestamp,pm25,pm10,no2,so2,co,o3,aqi_value,data_source,temperature,humidity,wind_speed,atmospheric_pressure,precipitation,cloudiness,created_at,date,time,hour,day_of_week
71,Bhiwadi,2025-11-06 07:31:15.011285,55.82,80.41,6.05,5.47,436.59,88.32,4,OpenWeather,18.35,42.0,2.47,,,0.0,2025-11-06 07:31:15.019279,2025-11-06,07:31:15.011285,7,Thursday
72,Bhiwani,2025-11-06 07:31:15.098780,48.04,79.67,8.84,3.89,420.19,74.2,3,OpenWeather,18.25,30.0,2.63,,,0.0,2025-11-06 07:31:15.099197,2025-11-06,07:31:15.098780,7,Thursday
74,Bhopal,2025-11-06 07:31:16.634670,42.82,65.47,1.83,2.64,254.31,79.15,3,OpenWeather,16.13,77.0,1.03,,,20.0,2025-11-06 07:31:16.641048,2025-11-06,07:31:16.634670,7,Thursday
28,Bhopal,2025-11-04 20:06:08.941799,23.38,29.87,3.78,2.28,347.99,38.39,2,OpenWeather,23.13,68.0,2.06,,,40.0,2025-11-04 20:06:08.942882,2025-11-04,20:06:08.941799,20,Tuesday
75,Bhubaneswar,2025-11-06 07:31:16.644669,76.89,85.75,2.25,6.14,307.61,111.21,5,OpenWeather,22.12,83.0,1.54,,,3.0,2025-11-06 07:31:16.645383,2025-11-06,07:31:16.644669,7,Thursday
53,Bhubaneswar,2025-11-04 20:06:14.700585,58.33,64.61,2.95,6.91,284.31,113.11,4,OpenWeather,24.12,69.0,1.54,,,20.0,2025-11-04 20:06:14.701219,2025-11-04,20:06:14.700585,20,Tuesday
73,Chandigarh,2025-11-06 07:31:16.627502,51.42,64.6,10.57,4.32,556.88,61.31,4,OpenWeather,15.97,54.0,2.15,,,0.0,2025-11-06 07:31:16.628711,2025-11-06,07:31:16.627502,7,Thursday
49,Chandigarh,2025-11-04 20:06:13.797715,60.22,86.34,13.22,6.55,461.12,95.43,4,OpenWeather,22.15,42.0,2.91,,,47.0,2025-11-04 20:06:13.808015,2025-11-04,20:06:13.797715,20,Tuesday
76,Chennai,2025-11-06 07:31:16.650662,19.07,21.59,6.18,2.16,448.63,38.52,2,OpenWeather,27.04,88.0,3.13,,,40.0,2025-11-06 07:31:16.656501,2025-11-06,07:31:16.650662,7,Thursday
17,Chennai,2025-11-04 20:06:06.196491,33.29,41.73,18.52,4.38,511.27,52.76,3,OpenWeather,26.33,88.0,2.24,,,75.0,2025-11-04 20:06:06.201503,2025-11-04,20:06:06.196491,20,Tuesday
17,Chennai,2025-11-04 20:06:06.196491,33.29,41.73,18.52,4.38,511.27,52.76,3,OpenWeather,26.33,88.0,2.24,,,75.0,2025-11-04 20:06:06.201503,2025-11-04,20:06:06.196491,20,Tuesday
