city,timestamp,aqi_value,pm25,pm10,no2,so2,co,o3,data_source,created_at
Thane,2025-11-06 07:31:33.950832,3,39.62,79.15,2.21,5.72,161.51,93.92,OpenWeather,2025-11-06 07:31:33.951577
Mumbai,2025-11-06 07:31:26.815522,3,37.71,76.64,0.8,3.51,143.01,96.92,OpenWeather,2025-11-06 07:31:26.819022
Varanasi,2025-11-06 07:31:34.919140,3,45.9,59.79,2.77,2.4,392.62,62.57,OpenWeather,2025-11-06 07:31:34.921486
Vijayawada,2025-11-06 07:31:35.527912,3,35.23,38.73,3.55,1.35,411.43,39.21,OpenWeather,2025-11-06 07:31:35.528701
Ludhiana,2025-11-06 07:31:25.828966,3,43.5,59.21,12.03,3.65,574.69,50.85,OpenWeather,2025-11-06 07:31:25.841625
Kota,2025-11-06 07:31:24.818226,3,34.53,66.17,5.55,2.44,313.52,56.55,OpenWeather,2025-11-06 07:31:24.826265
Ahmedabad,2025-11-06 07:31:10.269583,3,47.1,82.73,7.73,1.13,362.22,22.87,OpenWeather,2025-11-06 07:31:10.270128
Jalandhar,2025-11-06 07:31:24.486274,3,42.64,60.6,13.79,3.49,641.16,47.92,OpenWeather,2025-11-06 07:31:24.486635
Jabalpur,2025-11-06 07:31:22.618031,3,42.82,65.47,1.83,2.64,254.31,79.15,OpenWeather,2025-11-06 07:31:22.618842
Indore,2025-11-06 07:31:22.346682,3,40.17,64.97,3.7,1.06,283.67,40.76,OpenWeather,2025-11-06 07:31:22.348533
Visakhapatnam,2025-11-06 07:31:35.582663,3,41.25,45.15,3.95,5.52,396.45,66.08,OpenWeather,2025-11-06 07:31:35.584289
Allahabad,2025-11-06 07:31:11.246289,3,47.15,60.82,5.25,2.33,419.12,50.36,OpenWeather,2025-11-06 07:31:11.248536
Solapur,2025-11-06 07:31:33.285855,2,24.23,35.11,9.0,1.51,338.68,21.39,OpenWeather,2025-11-06 07:31:33.287971
Guwahati,2025-11-06 07:31:20.592609,2,20.51,23.51,5.46,0.74,409.41,13.06,OpenWeather,2025-11-06 07:31:20.603566
Salem,2025-11-06 07:31:32.349866,2,12.5,18.04,8.1,2.86,322.73,35.82,OpenWeather,2025-11-06 07:31:32.350658
Raipur,2025-11-06 07:31:31.011273,2,17.52,22.7,5.39,2.59,286.36,13.35,OpenWeather,2025-11-06 07:31:31.024286
Mysore,2025-11-06 07:31:27.945737,2,19.91,29.61,7.03,3.86,361.38,35.9,OpenWeather,2025-11-06 07:31:27.947493
Chennai,2025-11-06 07:31:16.650662,2,19.07,21.59,6.18,2.16,448.63,38.52,OpenWeather,2025-11-06 07:31:16.656501
Coimbatore,2025-11-06 07:31:18.200722,2,12.01,20.58,7.06,2.53,282.42,37.99,OpenWeather,2025-11-06 07:31:18.207776
Hyderabad,2025-11-06 07:31:21.775532,2,20.08,26.41,7.06,1.88,391.44,16.77,OpenWeather,2025-11-06 07:31:21.776573
Warangal,2025-11-06 07:31:36.414117,2,21.67,29.7,10.23,3.71,460.59,26.99,OpenWeather,2025-11-06 07:31:36.422202
Madurai,2025-11-06 07:31:25.977160,1,8.15,13.02,4.95,2.26,265.04,40.94,OpenWeather,2025-11-06 07:31:25.978469
