id,city,timestamp,date,time,hour,day_of_week,aqi_value,pm25,pm10,no2,so2,co,o3,data_source,created_at
8,Chennai,2025-11-04 20:06:04.234221,2025-11-04,20:06:04.234221,20,Tuesday,3,33.29,41.73,18.52,4.38,511.27,52.76,OpenWeather,2025-11-04 20:06:04.238143
4,Chennai,2025-11-04 20:06:02.952712,2025-11-04,20:06:02.952712,20,Tuesday,83,,,,,,,IQAir,2025-11-04 20:06:02.959414
77,Coimbatore,2025-11-06 07:31:18.200722,2025-11-06,07:31:18.200722,7,Thursday,2,12.01,20.58,7.06,2.53,282.42,37.99,OpenWeather,2025-11-06 07:31:18.207776
40,Coimbatore,2025-11-04 20:06:11.539806,2025-11-04,20:06:11.539806,20,Tuesday,1,3.48,6.61,4.37,1.8,210.81,52.05,OpenWeather,2025-11-04 20:06:11.540414
78,Delhi,2025-11-06 07:31:18.229092,2025-11-06,07:31:18.229092,7,Thursday,4,52.74,75.33,6.64,6.0,442.92,83.93,OpenWeather,2025-11-06 07:31:18.236157
15,Delhi,2025-11-04 20:06:05.946668,2025-11-04,20:06:05.946668,20,Tuesday,4,51.02,65.83,15.97,3.54,448.23,78.28,OpenWeather,2025-11-04 20:06:05.950704
7,Delhi,2025-11-04 20:06:04.213822,2025-11-04,20:06:04.213822,20,Tuesday,4,51.02,65.83,15.97,3.54,448.23,78.28,OpenWeather,2025-11-04 20:06:04.228244
1,Delhi,2025-11-04 20:06:02.951156,2025-11-04,20:06:02.951156,20,Tuesday,134,,,,,,,IQAir,2025-11-04 20:06:02.952650
79,Dhanbad,2025-11-06 07:31:19.211438,2025-11-06,07:31:19.211438,7,Thursday,5,88.13,121.79,6.75,2.81,457.12,18.43,OpenWeather,2025-11-06 07:31:19.212448
80,Faridabad,2025-11-06 07:31:19.227657,2025-11-06,07:31:19.227657,7,Thursday,4,54.7,75.68,6.13,6.09,453.91,87.29,OpenWeather,2025-11-06 07:31:19.229461
81,Ghaziabad,2025-11-06 07:31:19.500355,2025-11-06,07:31:19.500355,7,Thursday,4,54.43,73.14,6.15,7.11,460.75,89.18,OpenWeather,2025-11-06 07:31:19.508632
52,Ghaziabad,2025-11-04 20:06:14.664370,2025-11-04,20:06:14.664370,20,Tuesday,4,54.76,74.98,24.37,4.16,538.43,55.79,OpenWeather,2025-11-04 20:06:14.674212
33,Ghaziabad,2025-11-04 20:06:09.900064,2025-11-04,20:06:09.900064,20,Tuesday,4,54.76,74.98,24.37,4.16,538.43,55.79,OpenWeather,2025-11-04 20:06:09.901578
83,Greater Noida,2025-11-06 07:31:20.640293,2025-11-06,07:31:20.640293,7,Thursday,4,55.12,74.31,5.96,6.41,463.28,88.53,OpenWeather,2025-11-06 07:31:20.641905
85,Gurgaon,2025-11-06 07:31:21.164014,2025-11-06,07:31:21.164014,7,Thursday,4,54.28,77.05,6.3,5.78,444.6,86.06,OpenWeather,2025-11-06 07:31:21.168530
82,Guwahati,2025-11-06 07:31:20.592609,2025-11-06,07:31:20.592609,7,Thursday,2,20.51,23.51,5.46,0.74,409.41,13.06,OpenWeather,2025-11-06 07:31:20.603566
50,Guwahati,2025-11-04 20:06:13.813416,2025-11-04,20:06:13.813416,20,Tuesday,3,27.56,35.77,8.0,0.88,397.3,18.27,OpenWeather,2025-11-04 20:06:13.824913
84,Gwalior,2025-11-06 07:31:20.760988,2025-11-06,07:31:20.760988,7,Thursday,3,44.22,79.48,3.81,1.89,323.83,64.26,OpenWeather,2025-11-06 07:31:20.773181
43,Gwalior,2025-11-04 20:06:11.960287,2025-11-04,20:06:11.960287,20,Tuesday,2,17.72,21.93,9.7,4.35,397.4,54.62,OpenWeather,2025-11-04 20:06:11.961777
88,Howrah,2025-11-06 07:31:22.482271,2025-11-06,07:31:22.482271,7,Thursday,5,97.53,128.25,7.72,6.12,567.61,79.52,OpenWeather,2025-11-06 07:31:22.486903
86,Hyderabad,2025-11-06 07:31:21.775532,2025-11-06,07:31:21.775532,7,Thursday,2,20.08,26.41,7.06,1.88,391.44,16.77,OpenWeather,2025-11-06 07:31:21.776573
19,Hyderabad,2025-11-04 20:06:06.747402,2025-11-04,20:06:06.747402,20,Tuesday,2,10.12,14.33,10.9,2.57,423.81,46.61,OpenWeather,2025-11-04 20:06:06.747793
